time [s],distance [m]
0.0,0.0
0.0,-0.01
0.01,0.01
0.01,0.03
0.01,0.01
0.01,0.07
0.01,0.01
0.02,0.1
0.02,0.05
0.02,0.08
0.02,0.08
0.03,0.1
0.03,0.1
0.03,0.11
0.03,0.11
0.04,0.1
0.04,0.13
0.04,0.17
0.04,0.14
0.05,0.16
0.05,0.14
0.05,0.14
0.05,0.17
0.05,0.19
0.06,0.21
0.06,0.19
0.06,0.23
0.06,0.19
0.07,0.21
0.07,0.18
0.07,0.23
0.07,0.26
0.07,0.27
0.08,0.26
0.08,0.27
0.08,0.27
0.08,0.29
0.09,0.27
0.09,0.31
0.09,0.28
0.09,0.32
0.1,0.31
0.1,0.35
0.1,0.34
0.1,0.32
0.11,0.36
0.11,0.34
0.11,0.4
0.11,0.33
0.11,0.4
0.12,0.38
0.12,0.42
0.12,0.42
0.12,0.42
0.13,0.45
0.13,0.48
0.13,0.45
0.13,0.46
0.14,0.46
0.14,0.49
0.14,0.47
0.14,0.5
0.15,0.49
0.15,0.51
0.15,0.54
0.15,0.53
0.16,0.54
0.16,0.55
0.16,0.56
0.16,0.55
0.16,0.58
0.17,0.56
0.17,0.56
0.17,0.59
0.17,0.61
0.18,0.6
0.18,0.59
0.18,0.64
0.18,0.66
0.19,0.63
0.19,0.65
0.19,0.62
0.19,0.68
0.2,0.64
0.2,0.68
0.2,0.64
0.2,0.7
0.2,0.68
0.21,0.7
0.21,0.67
0.21,0.71
0.21,0.69
0.22,0.71
0.22,0.72
0.22,0.71
0.22,0.73
0.23,0.73
0.23,0.73
0.23,0.77
0.23,0.75
0.24,0.77
0.24,0.76
0.24,0.81
0.24,0.79
0.24,0.79
0.25,0.83
0.25,0.82
0.25,0.84
0.25,0.85
0.26,0.87
0.26,0.87
0.26,0.88
0.26,0.91
0.27,0.88
0.27,0.95
0.27,0.91
0.27,0.97
0.28,0.96
0.28,0.95
0.28,0.99
0.28,1.0
0.28,1.01
0.29,0.99
0.29,1.02
0.29,1.04
0.29,1.04
0.3,1.05
0.3,1.06
0.3,1.08
0.3,1.06
0.31,1.06
