time [s],distance [m]
0.001,2.655
0.003,2.674
0.005,2.627
0.008,2.617
0.010,2.655
0.012,2.702
0.015,2.617
0.017,2.664
0.019,2.674
0.022,2.617
0.024,2.627
0.026,2.664
0.029,2.730
0.031,2.636
0.033,2.636
0.036,2.598
0.038,2.645
0.041,2.645
0.043,2.674
0.045,2.683
0.048,2.655
0.050,2.627
0.052,2.702
0.055,2.655
0.057,2.608
0.059,2.664
0.062,2.608
0.064,2.617
0.066,2.636
0.069,2.645
0.071,2.645
0.073,2.730
0.076,2.645
0.078,2.702
0.080,2.645
0.083,2.627
0.085,2.674
0.087,2.636
0.090,2.608
0.092,2.617
0.094,2.645
0.097,2.608
0.099,2.664
0.101,2.683
0.104,2.627
0.106,2.627
0.108,2.636
0.111,2.674
0.113,2.692
0.116,2.674
0.118,2.683
0.120,2.627
0.123,2.598
0.125,2.645
0.127,2.664
0.130,2.608
0.132,2.627
0.134,2.627
0.137,2.598
0.139,2.645
0.141,2.664
0.144,2.598
0.146,2.711
0.148,2.598
0.151,2.683
0.153,2.664
0.155,2.598
0.158,2.645
0.160,2.655
0.162,2.608
0.165,2.674
0.167,2.645
0.169,2.767
0.172,2.683
0.174,2.664
0.177,2.636
0.179,2.683
0.181,2.636
0.184,2.636
0.186,2.627
0.188,2.636
0.191,2.589
0.193,2.617
0.195,2.674
0.198,2.692
0.200,2.617
0.202,2.627
0.205,2.674
0.207,2.617
0.209,2.636
0.212,2.674
0.214,2.683
0.216,2.702
0.219,2.645
0.221,2.645
0.223,2.636
0.226,2.767
0.228,2.655
0.231,2.627
0.233,2.655
0.235,2.617
0.238,2.720
0.240,2.636
0.242,2.664
0.245,2.617
0.247,2.636
0.249,2.598
0.252,2.645
0.254,2.655
0.256,2.608
0.259,2.692
0.261,2.636
0.263,2.645
0.266,2.702
0.268,2.739
0.270,2.683
0.273,2.627
0.275,2.598
0.277,2.636
0.280,2.636
0.282,2.598
0.284,2.636
0.287,2.627
0.289,2.608
0.292,2.739
0.294,2.608
0.296,2.645
0.299,2.730
0.301,2.645
0.303,2.627
0.306,2.739
0.308,2.692
0.310,2.674
0.313,2.655
0.315,2.674
0.317,2.664
0.320,2.674
0.322,2.608
0.324,2.636
0.327,2.702
0.329,2.645
0.331,2.627
0.334,2.645
0.336,2.627
0.338,2.664
0.341,2.627
0.343,2.645
0.345,2.617
0.348,2.655
0.350,2.627
0.353,2.627
0.355,2.636
0.357,2.627
0.360,2.777
0.362,2.683
0.364,2.608
0.367,2.627
0.369,2.636
0.371,2.692
0.374,2.664
0.376,2.598
0.378,2.627
0.381,2.711
0.383,2.608
0.385,2.645
0.388,2.636
0.390,2.683
0.392,2.627
0.395,2.655
0.397,2.598
0.399,2.636
0.402,2.617
0.404,2.608
0.406,2.617
0.409,2.636
0.411,2.655
0.414,2.627
0.416,2.645
0.418,2.627
0.421,2.674
0.423,2.702
0.425,2.711
0.428,2.655
0.430,2.777
0.432,2.674
0.435,2.674
0.437,2.664
0.439,2.645
0.442,2.674
0.444,2.627
0.446,2.636
0.449,2.617
0.451,2.664
0.453,2.617
0.456,2.655
0.458,2.702
0.460,2.636
0.463,2.645
0.465,2.608
0.467,2.655
0.470,2.627
0.472,2.645
0.475,2.627
0.477,2.598
0.479,2.636
0.482,2.598
0.484,2.645
0.486,2.627
0.489,2.645
0.491,2.645
0.493,2.655
0.496,2.645
0.498,2.655
0.500,2.627
0.503,2.636
0.505,2.636
0.507,2.645
0.510,2.730
0.512,2.608
0.514,2.655
0.517,2.617
0.519,2.627
0.521,2.617
0.524,2.617
0.526,2.636
0.528,2.627
0.531,2.645
0.533,2.702
0.536,2.608
0.538,2.627
0.540,2.627
0.543,2.702
0.545,2.598
0.547,2.636
0.550,2.627
0.552,2.645
0.554,2.608
0.557,2.683
0.559,2.627
0.561,2.627
0.564,2.627
0.566,2.627
0.568,2.617
0.571,2.683
0.573,2.720
0.575,2.617
0.578,2.608
0.580,2.627
0.582,2.617
0.585,2.720
0.587,2.617
0.590,2.598
0.592,2.645
0.594,2.627
0.597,2.674
0.599,2.617
0.601,2.664
0.604,2.617
0.606,2.758
0.608,2.645
0.611,2.655
0.613,2.617
0.615,2.636
0.618,2.617
0.620,2.627
0.622,2.645
0.625,2.683
0.627,2.664
0.629,2.702
0.632,2.674
0.634,2.636
0.636,2.627
0.639,2.598
0.641,2.636
0.643,2.608
0.646,2.711
0.648,2.589
0.650,2.692
0.653,2.627
0.655,2.617
0.658,2.674
0.660,2.664
0.662,2.636
0.665,2.617
0.667,2.627
0.669,2.627
0.672,2.589
0.674,2.674
0.676,2.617
0.679,2.608
0.681,2.702
0.683,2.627
0.686,2.627
0.688,2.627
0.690,2.617
0.693,2.655
0.695,2.617
0.697,2.617
0.700,2.627
0.702,2.608
0.704,2.598
0.707,2.655
0.709,2.645
0.712,2.683
0.714,2.608
0.716,2.608
0.719,2.570
0.721,2.749
0.723,2.636
0.726,2.598
0.728,2.608
0.730,2.683
0.733,2.636
0.735,2.636
0.737,2.608
0.740,2.608
0.742,2.608
0.744,2.664
0.747,2.645
0.749,2.580
0.751,2.645
0.754,2.627
0.756,2.636
0.758,2.655
0.761,2.627
0.763,2.608
0.765,2.683
0.768,2.598
0.770,2.561
0.772,2.608
0.775,2.617
0.777,2.589
0.780,2.580
0.782,2.589
0.784,2.608
0.787,2.617
0.789,2.674
0.791,2.570
0.794,2.589
0.796,2.561
0.798,2.580
0.801,2.674
0.803,2.627
0.805,2.627
0.808,2.608
0.810,2.598
0.812,2.589
0.815,2.598
0.817,2.692
0.819,2.589
0.822,2.608
0.824,2.617
0.826,2.598
0.829,2.561
0.831,2.598
0.833,2.552
0.836,2.636
0.838,2.542
0.841,2.598
0.843,2.561
0.845,2.580
0.848,2.627
0.850,2.589
0.852,2.617
0.855,2.570
0.857,2.589
0.859,2.664
0.862,2.561
0.864,2.655
0.866,2.580
0.869,2.617
0.871,2.598
0.873,2.636
0.876,2.645
0.878,2.598
0.880,2.655
0.883,2.683
0.885,2.692
0.887,2.636
0.890,2.608
0.892,2.655
0.894,2.580
0.897,2.636
0.899,2.589
0.902,2.589
0.904,2.617
0.906,2.664
0.909,2.711
0.911,2.655
0.913,2.561
0.916,2.674
0.918,2.655
0.920,2.617
0.923,2.636
0.925,2.692
0.927,2.645
0.930,2.683
0.932,2.645
0.934,2.664
0.937,2.645
0.939,2.683
0.941,2.636
0.944,2.664
0.946,2.664
0.948,2.683
0.951,2.636
0.953,2.598
0.955,2.645
0.958,2.608
0.960,2.645
0.963,2.617
0.965,2.645
0.967,2.683
0.970,2.608
0.972,2.617
0.974,2.655
0.977,2.645
0.979,2.570
0.981,2.570
0.984,2.674
0.986,2.608
0.988,2.533
0.991,2.561
0.993,2.542
0.995,2.570
0.998,2.542
1.000,2.552
1.002,2.552
1.005,2.552
1.007,2.533
1.009,2.552
1.012,2.552
1.014,2.552
1.016,2.514
1.019,2.561
1.021,2.542
1.024,2.542
1.026,2.552
1.028,2.580
1.031,2.552
1.033,2.570
1.035,2.589
1.038,2.570
1.040,2.598
1.042,2.580
1.045,2.636
1.047,2.580
1.049,2.636
1.052,2.608
1.054,2.627
1.056,2.636
1.059,2.636
1.061,2.655
1.063,2.655
1.066,2.664
1.068,2.692
1.070,2.702
1.073,2.692
1.075,2.674
1.077,2.692
1.080,2.664
1.082,2.702
1.085,2.664
1.087,2.711
1.089,2.711
1.092,2.711
1.094,2.767
1.096,2.711
1.099,2.720
1.101,2.683
1.103,2.702
1.106,2.692
1.108,2.749
1.110,2.749
1.113,2.767
1.115,2.777
1.117,2.739
1.120,2.777
1.122,2.749
1.124,2.814
1.127,2.749
1.129,2.805
1.131,2.786
1.134,2.824
1.136,2.814
1.138,2.795
1.141,2.833
1.143,2.814
1.146,2.824
1.148,2.814
1.150,2.861
1.153,2.899
1.155,2.852
1.157,2.899
1.160,2.870
1.162,2.908
1.164,2.899
1.167,2.917
1.169,2.917
1.171,2.917
1.174,2.955
1.176,2.955
1.178,2.964
1.181,2.936
1.183,2.974
1.185,2.974
1.188,2.974
1.190,3.002
1.192,2.992
1.195,3.011
1.197,3.030
1.199,3.011
1.202,3.067
1.204,3.011
1.207,3.096
1.209,3.049
1.211,3.077
1.214,3.077
1.216,3.105
1.218,3.105
1.221,3.114
1.223,3.114
1.225,3.105
1.228,3.133
1.230,3.171
1.232,3.143
1.235,3.161
1.237,3.143
1.239,3.143
1.242,3.171
1.244,3.189
1.246,3.208
1.249,3.189
1.251,3.227
1.253,3.189
1.256,3.208
1.258,3.180
1.260,3.227
1.263,3.264
1.265,3.274
1.268,3.264
1.270,3.274
1.272,3.274
1.275,3.293
1.277,3.274
1.279,3.311
1.282,3.283
1.284,3.321
1.286,3.311
1.289,3.349
1.291,3.340
1.293,3.321
1.296,3.358
1.298,3.340
1.300,3.396
1.303,3.330
1.305,3.396
1.307,3.377
1.310,3.424
1.312,3.424
1.314,3.424
1.317,3.452
1.319,3.480
1.322,3.452
1.324,3.461
1.326,3.461
1.329,3.490
1.331,3.471
1.333,3.499
1.336,3.490
1.338,3.508
1.340,3.537
1.343,3.527
1.345,3.537
1.347,3.546
1.350,3.555
1.352,3.546
1.354,3.583
1.357,3.555
1.359,3.555
1.361,3.593
1.364,3.612
1.366,3.602
1.368,3.593
1.371,3.640
1.373,3.658
1.375,3.630
1.378,3.649
1.380,3.621
1.383,3.677
1.385,3.640
1.387,3.677
1.390,3.640
1.392,3.696
1.394,3.677
1.397,3.696
1.399,3.668
1.401,3.705
1.404,3.687
1.406,3.705
1.408,3.724
1.411,3.715
1.413,3.734
1.415,3.734
1.418,3.734
1.420,3.771
1.422,3.752
1.425,3.771
1.427,3.762
1.429,3.809
1.432,3.790
1.434,3.790
1.436,3.827
1.439,3.818
1.441,3.837
1.444,3.855
1.446,3.865
